63 	18/05/1997 	09 	25 	26 	40 	41 	49 	0,00 	1 	13.680.019,57 	82 	16.246,91 	6359 	209,10 	NÃO 	0,00 	0,00 	0,00
64 	25/05/1997 	08 	12 	23 	50 	54 	60 	0,00 	0 	0,00 	29 	23.309,96 	2441 	276,38 	SIM 	811.186,58 	0,00 	0,00
65 	01/06/1997 	01 	05 	20 	25 	32 	34 	0,00 	0 	0,00 	61 	11.542,37 	4932 	142,48 	SIM 	1.656.088,09 	0,00 	0,00
66 	08/06/1997 	12 	13 	15 	26 	33 	48 	0,00 	0 	0,00 	102 	8.054,25 	7686 	106,68 	SIM 	2.641.927,81 	0,00 	0,00
67 	15/06/1997 	12 	14 	17 	27 	47 	52 	0,00 	0 	0,00 	83 	10.617,25 	5479 	160,52 	SIM 	3.699.406,44 	0,00 	0,00
68 	22/06/1997 	01 	03 	12 	13 	53 	59 	0,00 	0 	0,00 	49 	18.496,73 	4758 	190,11 	SIM 	4.787.014,46 	0,00 	0,00
69 	29/06/1997 	25 	34 	45 	53 	56 	58 	0,00 	0 	0,00 	55 	17.271,48 	3661 	258,96 	SIM 	5.926.931,93 	0,00 	0,00
70 	06/07/1997 	17 	23 	27 	40 	43 	58 	0,00 	0 	0,00 	95 	12.899,52 	6071 	201,46 	SIM 	14.883.849,29 	0,00 	0,00
71 	13/07/1997 	16 	27 	33 	43 	45 	53 	0,00 	0 	0,00 	115 	12.451,74 	7430 	192,35 	SIM 	16.602.188,45 	0,00 	0,00
72 	20/07/1997 	01 	19 	34 	43 	44 	48 	0,00 	0 	0,00 	85 	19.676,33 	7982 	209,13 	SIM 	18.609.174,26 	0,00 	0,00
73 	27/07/1997 	25 	26 	28 	45 	51 	57 	0,00 	1 	21.026.575,40 	95 	21.205,27 	8222 	244,52 	NÃO 	0,00 	0,00 	0,00
74 	03/08/1997 	02 	24 	34 	37 	38 	50 	0,00 	0 	0,00 	40 	18.257,68 	3321 	219,48 	SIM 	876.368,71 	0,00 	0,00
75 	10/08/1997 	21 	24 	35 	36 	37 	49 	0,00 	0 	0,00 	70 	12.395,02 	5032 	172,09 	SIM 	1.917.550,02 	0,00 	0,00
76 	17/08/1997 	08 	17 	18 	23 	33 	53 	0,00 	0 	0,00 	92 	10.247,61 	6399 	147,04 	SIM 	3.048.886,14 	0,00 	0,00
77 	24/08/1997 	21 	29 	40 	49 	54 	57 	0,00 	0 	0,00 	20 	49.648,81 	2635 	376,09 	SIM 	4.240.457,60 	0,00 	0,00
78 	31/08/1997 	12 	22 	25 	31 	32 	46 	0,00 	0 	0,00 	103 	9.907,36 	5984 	170,19 	SIM 	5.465.006,39 	0,00 	0,00
79 	07/09/1997 	02 	13 	17 	25 	31 	43 	0,00 	1 	6.770.601,75 	247 	4.404,85 	13375 	81,18 	NÃO 	0,00 	0,00 	0,00
80 	14/09/1997 	23 	28 	37 	40 	48 	51 	0,00 	0 	0,00 	43 	26.443,00 	4284 	264,89 	SIM 	10.953.707,53 	0,00 	0,00
81 	21/09/1997 	10 	23 	41 	47 	54 	60 	0,00 	0 	0,00 	62 	19.453,15 	4870 	247,17 	SIM 	12.401.021,68 	0,00 	0,00
82 	28/09/1997 	15 	18 	29 	36 	51 	53 	0,00 	1 	13.877.826,02 	77 	15.982,73 	5889 	208,57 	NÃO 	0,00 	0,00 	0,00
83 	05/10/1997 	04 	15 	16 	24 	42 	57 	0,00 	0 	0,00 	76 	9.408,43 	4756 	150,04 	SIM 	858.048,93 	0,00 	0,00
84 	12/10/1997 	04 	06 	10 	25 	34 	40 	0,00 	0 	0,00 	102 	7.539,68 	5546 	138,40 	SIM 	1.780.905,80 	0,00 	0,00
85 	19/10/1997 	06 	15 	30 	37 	45 	47 	0,00 	0 	0,00 	45 	17.279,25 	4312 	179,96 	SIM 	2.713.984,86 	0,00 	0,00
86 	26/10/1997 	06 	21 	22 	34 	36 	54 	0,00 	0 	0,00 	48 	16.752,96 	3752 	213,90 	SIM 	3.678.955,17 	0,00 	0,00
87 	02/11/1997 	04 	05 	11 	28 	32 	40 	0,00 	0 	0,00 	64 	12.696,60 	5195 	156,11 	SIM 	4.654.053,86 	0,00 	0,00
88 	09/11/1997 	04 	18 	29 	37 	43 	45 	0,00 	0 	0,00 	110 	7.965,82 	6805 	128,51 	SIM 	5.705.540,99 	0,00 	0,00
89 	16/11/1997 	13 	34 	42 	44 	55 	59 	0,00 	0 	0,00 	36 	24.246,00 	3847 	226,45 	SIM 	6.752.968,26 	0,00 	0,00
90 	23/11/1997 	09 	21 	26 	40 	52 	54 	0,00 	1 	15.764.300,87 	74 	18.584,49 	4763 	288,17 	NÃO 	0,00 	0,00 	0,00
91 	30/11/1997 	02 	04 	10 	35 	39 	60 	0,00 	0 	0,00 	68 	9.588,80 	3878 	167,81 	SIM 	782.445,93 	0,00 	0,00
92 	07/12/1997 	01 	03 	05 	23 	24 	51 	0,00 	0 	0,00 	75 	9.792,64 	5530 	132,56 	SIM 	1.663.783,45 	0,00 	0,00
93 	14/12/1997 	02 	22 	28 	31 	36 	53 	0,00 	0 	0,00 	61 	12.369,31 	3795 	198,44 	SIM 	2.569.217,31 	0,00 	0,00
94 	21/12/1997 	08 	18 	28 	51 	52 	55 	0,00 	0 	0,00 	25 	31.457,49 	2086 	376,26 	SIM 	3.512.942,16 	0,00 	0,00
95 	28/12/1997 	06 	40 	45 	46 	50 	60 	0,00 	0 	0,00 	22 	30.807,89 	2185 	309,58 	SIM 	4.326.270,55 	0,00 	0,00
96 	04/01/1998 	04 	07 	26 	40 	42 	58 	0,00 	1 	5.218.562,47 	62 	11.993,17 	3984 	186,27 	NÃO 	0,00 	0,00 	0,00
97 	11/01/1998 	05 	11 	14 	35 	53 	56 	0,00 	1 	727.932,66 	56 	10.832,33 	3441 	175,94 	NÃO 	0,00 	0,00 	0,00
98 	18/01/1998 	13 	14 	31 	33 	35 	43 	0,00 	0 	0,00 	89 	6.508,88 	4972 	116,28 	SIM 	695.149,05 	0,00 	0,00
99 	25/01/1998 	11 	24 	30 	33 	46 	60 	0,00 	0 	0,00 	46 	14.037,92 	3015 	213,76 	SIM 	1.470.041,96 	0,00 	0,00
100 	01/02/1998 	14 	29 	30 	46 	48 	51 	0,00 	0 	0,00 	56 	15.930,48 	3600 	247,32 	SIM 	8.585.129,47 	0,00 	0,00
101 	08/02/1998 	01 	18 	29 	31 	37 	39 	0,00 	0 	0,00 	52 	20.589,41 	4653 	229,64 	SIM 	9.869.908,65 	0,00 	0,00
102 	15/02/1998 	19 	20 	37 	42 	44 	56 	0,00 	1 	11.336.626,88 	73 	16.743,36 	6197 	196,85 	NÃO 	0,00 	0,00 	0,00
103 	22/02/1998 	01 	07 	09 	49 	54 	57 	0,00 	1 	696.984,24 	28 	20.743,58 	2632 	220,24 	NÃO 	0,00 	0,00 	0,00
104 	01/03/1998 	01 	04 	13 	21 	38 	52 	0,00 	0 	0,00 	37 	14.006,33 	2588 	199,85 	SIM 	621.880,72 	0,00 	0,00
105 	08/03/1998 	03 	13 	31 	43 	46 	49 	0,00 	0 	0,00 	55 	11.824,08 	4875 	133,14 	SIM 	1.402.269,88 	0,00 	0,00
106 	15/03/1998 	05 	16 	24 	35 	38 	39 	9.795.278,00 	0 	0,00 	94 	7.678,27 	5390 	133,65 	SIM 	2.268.378,66 	3.000.000,00 	0,00
107 	22/03/1998 	02 	04 	16 	24 	51 	52 	0,00 	0 	0,00 	35 	21.494,23 	3554 	211,26 	SIM 	3.171.136,01 	0,00 	0,00
108 	29/03/1998 	21 	24 	29 	34 	59 	60 	0,00 	0 	0,00 	35 	22.511,72 	2453 	320,57 	SIM 	4.116.628,49 	0,00 	0,00
109 	04/04/1998 	01 	13 	44 	48 	49 	54 	0,00 	0 	0,00 	39 	21.153,30 	3881 	212,15 	SIM 	11.523.677,38 	0,00 	0,00
110 	11/04/1998 	18 	31 	43 	52 	57 	58 	0,00 	0 	0,00 	35 	27.771,48 	3212 	302,01 	SIM 	12.690.079,16 	0,00 	0,00
111 	18/04/1998 	04 	22 	25 	32 	33 	52 	0,00 	0 	0,00 	68 	18.082,94 	6109 	200,88 	SIM 	14.165.647,19 	0,00 	0,00
112 	25/04/1998 	12 	20 	34 	37 	42 	43 	0,00 	1 	15.802.579,93 	137 	9.957,01 	8340 	163,25 	NÃO 	0,00 	0,00 	0,00
113 	02/05/1998 	07 	26 	28 	34 	54 	55 	0,00 	0 	0,00 	38 	14.269,55 	2572 	210,40 	SIM 	650.691,40 	0,00 	0,00
114 	09/05/1998 	06 	12 	18 	37 	47 	54 	0,00 	0 	0,00 	71 	9.626,08 	4908 	138,99 	SIM 	1.470.833,69 	0,00 	0,00
115 	16/05/1998 	04 	06 	14 	20 	24 	38 	0,00 	0 	0,00 	78 	9.283,10 	5091 	141,95 	SIM 	2.339.731,79 	0,00 	0,00
116 	23/05/1998 	05 	13 	32 	36 	42 	51 	10.384.878,00 	0 	0,00 	64 	11.956,28 	5270 	144,91 	SIM 	3.257.973,62 	4.200.000,00 	0,00
